nom,dataset_count,details
CA de Nevers,1,{'gtfs': 1}
Nantes Métropole,1,{'gtfs': 2}
CA de Nîmes Métropole,1,"{'gtfs': 1, 'gtfs_rt': 3}"
Métropole du Grand Nancy,2,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 1}"
CA Mulhouse Alsace Agglomération,2,"{'gtfs': 2, 'gtfs_rt': 2, 'netex': 1}"
CA Montluçon Communauté,1,{'gtfs': 2}
Montpellier Méditerranée Métropole,4,"{'gbfs': 1, 'gtfs': 1}"
Métropole Nice Côte d'Azur,2,{'gtfs': 1}
CA Pays de Montbéliard Agglomération,1,{'gtfs': 1}
SM de transports urbains de la Sambre,0,{}
Metz Métropole,3,"{'gtfs': 1, 'gtfs_rt': 3}"
CU Le Mans Métropole,1,"{'gtfs': 2, 'gtfs_rt': 1}"
SM intercommunal des transports de l'agglomération de Longwy,1,"{'gtfs': 1, 'netex': 1}"
CU Limoges Métropole,1,"{'gtfs': 2, 'netex': 3}"
Métropole Européenne de Lille,3,"{'gbfs': 1, 'gtfs': 1, 'gtfs_rt': 1}"
Métropole d'Aix-Marseille-Provence,5,"{'gbfs': 1, 'gtfs': 15}"
CA Lorient Agglomération,1,"{'gtfs': 3, 'gtfs_rt': 2}"
Le Havre Seine Métropole,1,"{'gtfs': 2, 'siri': 1}"
Laval Agglomération,1,{'gtfs': 2}
CA du Pays de Laon,1,{'gtfs': 1}
Syndicat Mixte des Mobilités de l'Aire Grenobloise,8,"{'gbfs': 2, 'gtfs': 6}"
CA de Forbach Porte de France,1,"{'gtfs': 1, 'netex': 1}"
SM des transports pour le Rhône et l'agglomération lyonnaise (SYTRAL),6,"{'gbfs': 1, 'gtfs': 9, 'netex': 3}"
SM des transports du Douaisis (SMTD),1,{'gtfs': 1}
CU de Dunkerque,1,"{'gtfs': 1, 'siri': 1}"
Dijon Métropole,1,"{'gtfs': 1, 'gtfs_rt': 2}"
CU Le Creusot Montceau-les-Mines,1,{}
CA d'Epinal,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Creil Sud Oise,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CA Colmar Agglomération,1,"{'gtfs': 1, 'netex': 1}"
SM des transports en commun de l'agglomération clermontoise (SMTC),2,"{'gbfs': 1, 'gtfs': 2}"
CA Châteauroux Métropole,1,{'gtfs': 4}
CA du Cotentin,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Chartres Métropole,1,{'gtfs': 2}
CA Agglomération du Choletais,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA du Grand Chambéry,2,"{'gtfs': 3, 'gtfs_rt': 2}"
Ardenne Métropole,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Le Grand Chalon,1,{'gtfs': 1}
CA de Châlons-en-Champagne,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Cannes Pays de Lérins,1,"{'gtfs': 1, 'gtfs_rt': 3}"
CA Evreux Portes de Normandie,1,{'gtfs': 2}
CA du Bassin de Brive,1,"{'gtfs': 2, 'netex': 3}"
CU Caen la Mer,1,"{'gtfs': 2, 'siri': 1}"
Brest Métropole,2,"{'gbfs': 1, 'gtfs': 2, 'gtfs_rt': 3, 'siri': 1}"
CA de Cambrai,1,{'gtfs': 1}
CA du Boulonnais,1,"{'gtfs': 1, 'gtfs_rt': 2}"
Agglobus,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA du Bassin de Bourg-en-Bresse,1,{'gtfs': 2}
SI des transports urbains de l'agglomération du Calaisis (SITAC),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Bordeaux Métropole,2,"{'gtfs': 3, 'gtfs_rt': 4, 'netex': 2}"
SM des transports en commun du Territoire-de-Belfort,1,{'gtfs': 1}
CU Grand Besançon Métropole,1,"{'gbfs': 1, 'gtfs': 1}"
CA du Beauvaisis,2,"{'gtfs': 2, 'gtfs_rt': 8, 'netex': 2, 'siri': 4}"
CA de Bastia,1,{'gtfs': 1}
Syndicat des mobilités Pays Basque - Adour,4,"{'gtfs': 5, 'gtfs_rt': 2, 'netex': 2}"
CA de Blois ''Agglopolys'',1,{'gtfs': 2}
CA de Béziers-Méditerranée,1,{'gtfs': 1}
CU d'Arras,1,{'gtfs': 1}
CA du Grand Avignon (COGA),2,"{'gtfs': 1, 'gtfs_rt': 1}"
CA d'Arles-Crau-Camargue-Montagnette,1,"{'gtfs': 16, 'gtfs_rt': 1}"
CA du Grand Angoulême,1,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 2}"
CU Angers Loire Métropole,1,"{'gtfs': 2, 'gtfs_rt': 2, 'siri': 1}"
CA Annemasse-Les Voirons-Agglomération,1,"{'gtfs': 2, 'gtfs_rt': 2}"
SM Artois Mobilités,1,{'gtfs': 1}
SI des transports urbains soissonnais (SITUS),2,{'gtfs': 2}
CA du Grand Cahors,1,{'gtfs': 1}
CA du Grand Annecy,1,{'gtfs': 2}
CA Rodez Agglomération,1,{'gtfs': 1}
CA Tulle Agglo,1,"{'gtfs': 2, 'netex': 3}"
CA Mont de Marsan Agglomération,1,"{'gtfs': 2, 'netex': 3}"
CA Grand Montauban,1,{'gtfs': 1}
CA du Grand Dax,1,"{'gtfs': 2, 'netex': 2}"
CA Grand Châtellerault,1,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 2}"
CA du Grand Verdun,2,"{'gtfs': 2, 'gtfs_rt': 2, 'netex': 1}"
CA de Castres Mazamet,1,{'gtfs': 1}
CA de la Riviera Française,1,"{'gtfs': 1, 'gtfs_rt': 2}"
CA Grand Auch Coeur de Gascogne,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA Gap-Tallard-Durance,1,{'gtfs': 1}
CA Moulins Communauté,0,{'gtfs': 1}
Dracénie Provence Verdon Agglomération,1,{'gtfs': 2}
CA Carcassonne Agglo,1,{'gtfs': 1}
CA Montélimar Agglomération,1,{'gtfs': 2}
SM transports publics du bassin d'Alès,3,"{'gtfs': 3, 'gtfs_rt': 1}"
CA de Saintes,2,"{'gtfs': 3, 'gtfs_rt': 1, 'netex': 3}"
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1,{'gtfs': 2}
CA Vienne Condrieu,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA Le Grand Narbonne,1,{'gtfs': 1}
CA du Libournais,1,"{'gtfs': 2, 'netex': 3}"
CA Vichy Communauté,1,{'gtfs': 2}
SI de mobilité et d'organisation urbaine du Valenciennois,1,{'gtfs': 1}
Valence-Romans déplacements,1,{'gtfs': 1}
CA Troyes Champagne Métropole,1,"{'gtfs': 2, 'gtfs_rt': 3}"
SM des transports urbains Thionville Fensch,1,"{'gtfs': 1, 'netex': 1}"
CA Tarbes-Lourdes-Pyrénées,1,"{'gtfs': 1, 'gtfs_rt': 1}"
Métropole Toulon-Provence-Méditerranée,1,"{'gtfs': 1, 'siri': 1}"
SM des transports en commun de l'agglomération toulousaine,1,{}
CA Sète Agglopôle Méditerranée,1,"{'gtfs': 1, 'gtfs_rt': 3}"
Syndicat des Mobilités de Touraine,2,"{'gtfs': 2, 'gtfs_rt': 3}"
Eurométropole de Strasbourg,6,"{'gbfs': 3, 'gtfs': 1, 'siri_lite': 5}"
CA du Saint-Quentinois,1,{'gtfs': 1}
CA Saumur Val de Loire,1,"{'gtfs': 2, 'netex': 2}"
CA de la Région Nazairienne et de l'Estuaire (CARENE),5,"{'gbfs': 1, 'gtfs': 4, 'gtfs_rt': 1}"
Saint-Etienne Métropole,2,"{'gbfs': 1, 'gtfs': 2, 'netex': 2}"
CA du Pays de Saint Malo Agglomération,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA de La Rochelle,2,"{'gtfs': 2, 'netex': 3}"
CA La Roche sur Yon - Agglomération,1,"{'gtfs': 2, 'gtfs_rt': 1}"
Métropole Rouen Normandie,8,"{'gbfs': 1, 'gtfs': 4, 'gtfs_rt': 5}"
CA Roannais Agglomération,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Quimper Bretagne Occidentale,2,"{'gtfs': 3, 'gtfs_rt': 1}"
CU du Grand Reims,2,"{'gtfs': 1, 'netex': 1}"
Rennes Métropole,1,{'gtfs': 2}
CA Saint-Brieuc Armor Agglomération,2,"{'gbfs': 3, 'gtfs': 2}"
CU Perpignan Méditerranée Métropole,2,"{'gtfs': 2, 'gtfs_rt': 1}"
CU du Grand Poitiers,1,"{'gtfs': 2, 'netex': 2}"
Orléans Métropole,2,"{'gtfs': 4, 'gtfs_rt': 1}"
CA du Niortais,1,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 2}"
CA Les Sables d'Olonne Agglomération,1,"{'gtfs': 2, 'netex': 2}"
"SM ""Pau Béarn Pyrénées mobilités""",2,{'gtfs': 2}
Syndicat mixte des transports urbains du bassin thiernois,0,{'gtfs': 1}
CA Saint-Avold Synergie,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA Riom Limagne et Volcans,0,{'gtfs': 1}
CA Saint-Lô Agglo,0,{'gtfs': 1}
CA Le Grand Périgueux,1,"{'gtfs': 2, 'netex': 3}"
CA Fécamp Caux Littoral Agglomération,0,{'gtfs': 1}
CA Agglo du Pays de Dreux,1,{'gtfs': 2}
CA Lannion-Trégor Communauté,0,{'gtfs': 1}
CA de la Région Dieppoise,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Lisieux Normandie,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Vitré Communauté,1,{'gtfs': 1}
CA Montargoise et Rives du Loing (AME),1,{'gtfs': 2}
CA Morlaix Communauté,0,{'gtfs': 1}
CA de Bar-le-Duc - Sud Meuse,1,"{'gtfs': 1, 'netex': 1}"
CC Terres Touloises,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Golfe du Morbihan - Vannes Agglomération,1,{'gtfs': 2}
CA Saint-Louis Agglomération,4,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Sarreguemines Confluences,1,"{'gtfs': 1, 'netex': 1}"
CA Fougères Agglomération,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA de Saint-Dizier Der et Blaise,1,"{'gtfs': 1, 'netex': 1}"
CA Concarneau Cornouaille Agglomération,1,"{'gtfs': 2, 'netex': 1}"
"CA Epernay, Coteaux et Plaine de Champagne",1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA ECLA  (Espace Communautaire Lons Agglomération),1,{'gtfs': 1}
CA de Chaumont,1,"{'gtfs': 1, 'netex': 1}"
CA Thonon Agglomération,1,{'gtfs': 2}
CA de Saint-Dié-des-Vosges,1,"{'gtfs': 1, 'gtfs_rt': 2, 'netex': 1}"
CA du Grand Sénonais,1,{'gtfs': 1}
CA Mâconnais Beaujolais Agglomération,1,{'gtfs': 2}
CA Porte de l'Isère (CAPI),1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA du Grand Dole,1,"{'gtfs': 1, 'gtfs_rt': 2}"
CC Cluses-Arve et Montagnes,1,{'gtfs': 1}
Haut - Bugey Agglomération,0,{'gtfs': 1}
CA de l'Auxerrois,1,"{'gtfs': 1, 'gtfs_rt': 3}"
CA du Bassin d'Aurillac,0,{'gtfs': 1}
CA Annonay Rhône Agglo,3,{'gtfs': 4}
CC du Grand Autunois Morvan,1,{'gtfs': 1}
CA du Puy-en-Velay,0,{'gtfs': 1}
CC de Sélestat,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CA Grand Lac,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA Chauny Tergnier La Fère,1,{'gtfs': 1}
CA Provence-Alpes-Agglomération,1,{'gtfs': 4}
CC du Bassin de Pompey,1,"{'gtfs': 1, 'netex': 1}"
CC du Bassin de Pont-à-Mousson,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CC de Millau Grands Causses,0,{}
CA Seine-Eure,1,{'gtfs': 2}
CA du Pays de Grasse,1,{'gtfs': 2}
CA de la Région de Compiègne et de la Basse Automne,3,"{'gtfs': 3, 'gtfs_rt': 8, 'netex': 3, 'siri': 4}"
CA Bergeracoise,1,"{'gtfs': 2, 'netex': 3}"
CA Bassin d'Arcachon Sud (COBAS),1,{'gtfs': 1}
CA Caux Seine Agglo,1,"{'gtfs': 2, 'gtfs_rt': 1}"
Estérel Côte d'Azur Agglomération,1,{'gtfs': 1}
CA de Vesoul,1,"{'gtfs': 1, 'gtfs_rt': 2}"
CA de la Baie de Somme,0,{}
Île-de-France Mobilités,1,"{'gtfs': 2, 'netex': 1, 'siri_lite': 3}"
CC des Pays d'Oise et d'Halatte,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CA Flers Agglo,2,{'gtfs': 3}
CA Arlysère,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CC de l'Aire Cantilienne,3,"{'gtfs': 3, 'gtfs_rt': 8, 'netex': 3, 'siri': 4}"
CA Durance-Lubéron-Verdon Agglomération,1,{'gtfs': 1}
CA Dinan Agglomération,1,{'gtfs': 1}
CA de Haguenau,2,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 1}"
CA Val de Garonne Agglomération,1,"{'gtfs': 2, 'netex': 3}"
CA des Deux Baies en Montreuillois,0,{}
CC des Sablons,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CC Moselle et Madon,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA du Grand Cognac,1,"{'gtfs': 2, 'netex': 3}"
CA Territoires Vendômois,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Seine Normandie Agglomération,2,"{'gtfs': 3, 'gtfs_rt': 2}"
CC Pontivy Communauté,1,"{'gtfs': 2, 'gtfs_rt': 1}"
